connector_id,source_label,notation,pollutant_label,source_uom,observed_property_code,mapping_kind,is_aqi_eligible,is_active,confidence,notes,match_method,detected_units,site_count,file_count,nonempty_value_count,sample_file
1,"1,2,3-trimethylbenzene",,"1,2,3-trimethylbenzene",ug/m3,123c6h3ch33,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (1380),2,2,1380,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,"1,2,4-trimethylbenzene",,"1,2,4-trimethylbenzene",ug/m3,124c6h3ch33,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (2928),2,2,2928,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,"1,3,5-trimethylbenzene",,"1,3,5-trimethylbenzene",ug/m3,135c6h3ch33,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (2825),2,2,2825,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,"1,3-butadiene",,"1,3-butadiene",ug/m3,ch2chchch2,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (9058),4,4,9058,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,1-butene,,1-butene,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (3105),2,2,3105,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,1-pentene,,1-pentene,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (3002),2,2,3002,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,2-methylpentane,,2-methylpentane,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (9214),4,4,9214,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,3-methylpentane (VOC-AIR only),,3-methylpentane (VOC-AIR only),,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,acetaldehyde,,acetaldehyde,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,acetone,,acetone,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,ammonium in PM10,,ammonium in PM10,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1919),2,2,1919,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,ammonium in PM2.5,,ammonium in PM2.5,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1864),2,2,1864,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,benzene,,benzene,ug/m3,c6h6,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (8942),4,4,8942,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,Black Carbon (880nm),,Black Carbon (880nm),ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (90063),23,23,90063,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,Blue Particulate matter (470nm),,Blue Particulate matter (470nm),ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (81571),23,23,81571,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
